Issue key,Issue id,Summary,Issue Type,Custom field (Story Points),Status,Custom field (Epic Link),Epic Link Summary,Updated,Created,Assignee,Assignee Id,Labels,Labels,Labels,Labels
PART-259,20808,Investigate: Cron job overrunning allocated resources (remove cron),Task,,Done,PART-234,Express Tech Excellence,05/Apr/23 8:36 AM,23/Aug/22 4:54 PM,Dan Cohn,607f2fef739dd40069a4b2a3,part/Backend,,,
PART-309,20783,Fix flaky tests in backend: markets_swagger_spec.rb:24,Task,2.0,To Do,PART-234,Express Tech Excellence,07/Mar/23 7:39 AM,20/Oct/22 9:38 AM,Antonio Antillon,61f81bb630f6b8006aa75942,part/Backend,,,
PART-327,21081,Remove old Rollout Popup Banner,Task,2.0,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,06/Nov/22 3:49 PM,,,part/Frontend,part/nse,,
PART-328,21082,Remove all usages of '||' (or operator) related to partnerId,Task,2.0,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,07/Nov/22 4:03 PM,,,part/Frontend,part/nse,,
PART-337,21083,Implement custom randomized sequencer for FE tests,Task,3.0,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,14/Nov/22 4:21 PM,,,part/Frontend,part/nse,,
PART-342,20790,Implement Slack alerts triggered by Datadog logs on Express,Task,1.0,To Do,PART-234,Express Tech Excellence,07/Mar/23 7:25 AM,18/Nov/22 10:13 AM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-353,21085,Refactor ChiefComplaint to use Formik,Task,3.0,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,25/Nov/22 1:04 PM,,,part/Frontend,part/nse,part/tech-debt,
PART-371,21087,Code cleanup: remove partner.genesys_email from frontend,Task,1.0,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,14/Dec/22 12:29 PM,,,part/Frontend,,,
PART-372,21088,Code cleanup: remove old partner form (frontend),Task,1.0,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,14/Dec/22 12:29 PM,,,part/Frontend,,,
PART-388,21093,replace createReducer with builder callback RTK,Task,,To Do,PART-234,Express Tech Excellence,05/Apr/23 11:34 AM,06/Jan/23 3:07 PM,,,,,,
PART-389,21094,Tech Excellence: fix HashRouter warning,Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,06/Jan/23 3:09 PM,,,,,,
PART-390,21095,Tech Excellence: fix PrivateRoute test/prop warnings,Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,06/Jan/23 3:10 PM,,,,,,
PART-391,21096,Tech Excellence: fix InputWithChips test warnings,Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,06/Jan/23 3:11 PM,,,,,,
PART-393,21098,Tech Excellence FE : migrate MUI from v4 to v5,Task,,To Do,PART-234,Express Tech Excellence,10/Mar/23 2:00 PM,09/Jan/23 2:55 PM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-394,21099,Tech Excellence FE : swap MUI for DS components,Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,09/Jan/23 2:58 PM,,,,,,
PART-395,21100,Tech Excellence FE : replace Express theme with DS theme,Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,09/Jan/23 3:01 PM,,,,,,
PART-397,21101,Upgrade React Scripts package - exploration,Task,,Done,PART-234,Express Tech Excellence,05/Apr/23 8:36 AM,12/Jan/23 11:42 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-403,21103,"FE: upgrade ""@testing-library/cypress""",Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,19/Jan/23 12:20 PM,,,,,,
PART-404,21104,"FE: upgrade ""@testing-library/react""",Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,19/Jan/23 12:22 PM,,,,,,
PART-405,21105,"FE: upgrade ""@testing-library/react-hooks""",Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,19/Jan/23 12:22 PM,,,,,,
PART-406,21106,"FE: upgrade ""@testing-library/user-event""",Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,19/Jan/23 12:23 PM,,,,,,
PART-407,21107,"FE: upgrade ""cypress""",Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,19/Jan/23 12:24 PM,,,,,,
PART-408,21108,"FE: upgrade ""react router""",Task,,Canceled,PART-234,Express Tech Excellence,04/Apr/23 1:17 PM,19/Jan/23 12:26 PM,,,,,,
PART-410,21109,FE: align our types packages with the packages we use (versions),Task,,To Do,PART-234,Express Tech Excellence,24/Feb/23 2:48 PM,19/Jan/23 12:27 PM,,,,,,
PART-2293,22197,Remove cron from Procfile and remove Aptible services,Story,1.0,Done,PART-234,Express Tech Excellence,02/Mar/23 9:39 AM,28/Feb/23 12:05 PM,Dan Cohn,607f2fef739dd40069a4b2a3,,,,
PART-2296,22255,Add bundle back to dockerfile,Story,1.0,Done,PART-234,Express Tech Excellence,14/Mar/23 8:43 AM,28/Feb/23 3:55 PM,Dan Cohn,607f2fef739dd40069a4b2a3,,,,
PART-2326,23124,Integration Test - Care Requests Page Filter Menu Click Away,Task,1.0,To Do,PART-234,Express Tech Excellence,28/Mar/23 9:24 AM,06/Mar/23 11:59 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2330,23233,FE: Fix Flaky Test : SummaryCard & PartnerInformationPage,Task,0.5,Canceled,PART-234,Express Tech Excellence,09/Mar/23 2:43 PM,07/Mar/23 7:53 AM,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2334,23365,Fix Flaky Test : PartnerInformationPage - bypass risk option,Task,,Done,PART-234,Express Tech Excellence,05/Apr/23 8:36 AM,07/Mar/23 1:59 PM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2335,23369,Flaky ruby spec on CareRequest Query service,Task,,To Do,PART-234,Express Tech Excellence,07/Mar/23 2:07 PM,07/Mar/23 2:07 PM,Antonio Antillon,61f81bb630f6b8006aa75942,,,,
PART-2336,23441,Demote MarketStatus::Nearest error messages to warn messages in logs,Task,,To Do,PART-234,Express Tech Excellence,07/Mar/23 7:55 PM,07/Mar/23 7:55 PM,Antonio Antillon,61f81bb630f6b8006aa75942,,,,
PART-2338,23496,Daily Summary calls in station cause a DB spike at 10am everyday,Bug,0.0,Canceled,PART-234,Express Tech Excellence,03/Apr/23 10:08 AM,08/Mar/23 9:51 AM,,,,,,
PART-2341,23678,Add Rake task - delete partners,Task,1.0,To Do,PART-234,Express Tech Excellence,18/Apr/23 1:19 PM,08/Mar/23 3:00 PM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2342,23698,Add Swagger docs for GET care requests endpoints (show and index),Task,,Canceled,PART-234,Express Tech Excellence,21/Mar/23 1:16 PM,08/Mar/23 4:10 PM,,,part/Backend,,,
PART-2346,23809,Standardize the use of error key in the backend failure responses,Task,,To Do,PART-234,Express Tech Excellence,09/Mar/23 12:28 PM,09/Mar/23 12:28 PM,,,,,,
PART-2349,24050,Optimize account access,Task,2.0,Code Review,PART-234,Express Tech Excellence,11/Apr/23 11:31 AM,10/Mar/23 2:41 PM,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-2350,24087,Create hook/careRequests dir,Task,,Done,PART-234,Express Tech Excellence,05/Apr/23 8:36 AM,10/Mar/23 4:49 PM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2352,24354,Remove flag (FE) - care_requests_page (including old dashboard),Task,,To Do,PART-234,Express Tech Excellence,06/Apr/23 11:13 AM,13/Mar/23 12:17 PM,,,part/Frontend,,,
PART-2353,24358,Remove flag (BE) - care_requests_page,Task,,To Do,PART-234,Express Tech Excellence,06/Apr/23 11:13 AM,13/Mar/23 12:20 PM,,,part/Backend,,,
PART-2355,24413,PartnerMarketsPage.js / fix flaky test,Bug,2.0,To Do,PART-234,Express Tech Excellence,18/Apr/23 1:22 PM,13/Mar/23 3:20 PM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2374,25430,Research existing Statsig feature gates - generate AIs for each,Task,,Done,PART-234,Express Tech Excellence,05/Apr/23 8:36 AM,16/Mar/23 1:52 PM,Dan Cohn,607f2fef739dd40069a4b2a3,part/Backend,,,
PART-2375,25436,Migrate existing Statsig flags / dynamic configs to A/B project,Task,3.0,To Do,PART-234,Express Tech Excellence,20/Apr/23 11:21 AM,16/Mar/23 2:04 PM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2376,25440,Fix impersonation feature (too slow),Task,,Canceled,PART-234,Express Tech Excellence,16/Mar/23 4:33 PM,16/Mar/23 2:28 PM,,,,,,
PART-2380,25460,Remove deprecated market zipcode route from Station,Task,1.0,Code Review,PART-234,Express Tech Excellence,11/Apr/23 11:16 AM,16/Mar/23 3:54 PM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2389,25829,Upgrade React Scripts - 2 ,Task,3.0,In Progress,PART-234,Express Tech Excellence,20/Apr/23 10:25 AM,20/Mar/23 11:02 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/FE,,,
PART-2392,26070,Refactor Typescript Enum to use PascalCase,Task,1.0,To Do,PART-234,Express Tech Excellence,28/Mar/23 9:23 AM,21/Mar/23 11:35 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/FE,,,
PART-2395,26267,Add 'Select Payer' input to insurance page,Story,,In Progress,PART-2394,Insurance Restructure,17/Apr/23 2:35 PM,22/Mar/23 11:11 AM,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2396,26268,Add 'Select Network' input to insurance page,Story,,To Do,PART-2394,Insurance Restructure,18/Apr/23 1:21 PM,22/Mar/23 11:12 AM,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2397,26271,UI : view - Payer field,Task,2.0,Done,PART-2394,Insurance Restructure,20/Apr/23 10:40 AM,22/Mar/23 11:15 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2398,26276,UI: payer field - api hook & data type ,Task,2.0,To Do,PART-2394,Insurance Restructure,20/Apr/23 11:28 AM,22/Mar/23 11:25 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2399,26277,UI: Feature Gate - new fields ,Task,1.0,Done,PART-2394,Insurance Restructure,13/Apr/23 7:53 AM,22/Mar/23 11:26 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2400,26278,(BE) New backend insurance-payer endpoint,Task,2.0,To Do,PART-2394,Insurance Restructure,20/Apr/23 11:28 AM,22/Mar/23 11:27 AM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2401,26279,New backend service to fetch insurance-payer data from Station,Task,2.0,In Progress,PART-2394,Insurance Restructure,20/Apr/23 2:08 PM,22/Mar/23 11:27 AM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2402,26280,Update E2E tests - payer,Task,,To Do,PART-2394,Insurance Restructure,22/Mar/23 11:32 AM,22/Mar/23 11:28 AM,,,part/Frontend,,,
PART-2403,26281, UI view for the select network input,Task,,To Do,PART-2394,Insurance Restructure,20/Apr/23 11:28 AM,22/Mar/23 11:28 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-2404,26282,UI api hook and data type - network,Task,,Canceled,PART-2394,Insurance Restructure,06/Apr/23 10:42 AM,22/Mar/23 11:29 AM,,,part/Frontend,,,
PART-2405,26283,New backend insurance-network endpoint,Task,,Canceled,PART-2394,Insurance Restructure,06/Apr/23 10:42 AM,22/Mar/23 11:30 AM,,,part/Backend,,,
PART-2406,26284,New backend service to fetch insurance-network data from Station,Task,,Canceled,PART-2394,Insurance Restructure,06/Apr/23 10:42 AM,22/Mar/23 11:31 AM,,,part/Backend,,,
PART-2407,26285,Update E2E tests - network,Task,,To Do,PART-2394,Insurance Restructure,22/Mar/23 11:31 AM,22/Mar/23 11:31 AM,,,part/Frontend,,,
PART-2410,26327,Remove create_care_request_server_error_handling feature gate and code,Task,,To Do,PART-234,Express Tech Excellence,22/Mar/23 1:48 PM,22/Mar/23 1:48 PM,,,part/FE,,,
PART-2411,26328,Remove create_care_request_server_error_handling feature gate and code,Task,,Canceled,PART-234,Express Tech Excellence,22/Mar/23 1:49 PM,22/Mar/23 1:49 PM,,,part/FE,,,
PART-2415,26577,Investigate Statsig FeatureGateList not working,Task,,To Do,PART-234,Express Tech Excellence,23/Mar/23 2:59 PM,23/Mar/23 2:58 PM,,,,,,
PART-2420,24818,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in postcss,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2421,24819,DispatchHealth/partner-product:client/package.json - Improper Verification of Cryptographic Signature in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2422,24816,DispatchHealth/partner-product:client/package.json - Open Redirect in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2423,24838,DispatchHealth/partner-product - Use of Externally-Controlled Format String,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:48 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2424,24839,DispatchHealth/partner-product - Use of Hardcoded Credentials,Vulnerabilities,1.0,Canceled,PART-234,Express Tech Excellence,19/Apr/23 11:14 AM,13/Mar/23 11:49 PM,Sam Lanker,62cdf020afe495359d9d9b0b,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2425,24817,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in postcss,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2426,24810,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in nth-check,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2427,24832,DispatchHealth/partner-product:Gemfile.lock - GPL-2.0 license in colorize,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:24 AM,13/Mar/23 11:47 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2428,24811,DispatchHealth/partner-product:client/package.json - Prototype Pollution in immer,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2429,24833,DispatchHealth/partner-product:Gemfile.lock - Web Cache Poisoning in rack,Vulnerabilities,1.0,Code Review,PART-234,Express Tech Excellence,14/Apr/23 12:28 PM,13/Mar/23 11:47 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2430,24830,DispatchHealth/partner-product:client/package.json - Prototype Pollution in unset-value,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:24 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2431,24831,DispatchHealth/partner-product:Gemfile.lock - Denial of Service (DoS) in rack,Vulnerabilities,1.0,Code Review,PART-234,Express Tech Excellence,14/Apr/23 12:28 PM,13/Mar/23 11:47 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2432,24814,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in browserslist,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2433,24836,DispatchHealth/partner-product - Use of Hardcoded Credentials,Vulnerabilities,1.0,Canceled,PART-234,Express Tech Excellence,19/Apr/23 11:16 AM,13/Mar/23 11:48 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2434,24837,DispatchHealth/partner-product - Use of Hardcoded Credentials,Vulnerabilities,1.0,Canceled,PART-234,Express Tech Excellence,19/Apr/23 11:16 AM,13/Mar/23 11:48 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2435,24815,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in glob-parent,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2436,24812,DispatchHealth/partner-product:client/package.json - Command Injection in react-dev-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2437,24834,DispatchHealth/partner-product:Gemfile.lock - Information Exposure in actioncable,Vulnerabilities,1.0,Code Review,PART-234,Express Tech Excellence,14/Apr/23 12:28 PM,13/Mar/23 11:47 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2438,24835,DispatchHealth/partner-product - Code Injection,Vulnerabilities,1.0,To Do,PART-234,Express Tech Excellence,20/Apr/23 11:18 AM,13/Mar/23 11:48 PM,Giorgi Gelashvili,62cdef6c6eba71983721e037,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2439,24813,DispatchHealth/partner-product:client/package.json - Prototype Pollution in loader-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2440,24840,DispatchHealth/partner-product - Improperly Controlled Modification of Dynamically-Determined Object Attributes,Vulnerabilities,,Done,PART-234,Express Tech Excellence,04/Apr/23 10:13 AM,13/Mar/23 11:49 PM,,,Legacy-Debt,Partner,partner-product-repo,
PART-2441,24442,DispatchHealth/services - Use of Password Hash With Insufficient Computational Effort,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,30/Mar/23 1:44 PM,13/Mar/23 9:05 PM,,,Legacy-Debt,Partner,Services-Repo,sev-low
PART-2442,24829,DispatchHealth/partner-product:client/package.json - Prototype Pollution in json5,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2443,24808,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in ansi-regex,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:40 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2444,24827,DispatchHealth/partner-product:client/package.json - Command Injection in lodash.template,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:24 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2445,24828,DispatchHealth/partner-product:client/package.json - Reverse Tabnabbing in istanbul-reports,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2446,24809,DispatchHealth/partner-product:client/package.json - Prototype Pollution in immer,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:40 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
